"ID","StoreOpenYear","YearsSinceRemodel","Cluster","RecommendedServices"
"212","1983","14.0","0","Starbucks"
"301","1990","8.0","0",""
"2245","2007","14.0","0",""
"2195","2006","16.0","0","Mobile, Kiosk"
"1961","2005","8.0","0",""
"1834","2005","8.0","0",""
"1548","2003","14.0","0","Starbucks"
"736","1995","14.0","0",""
"1423","2002","8.0","0",""
"258","1987","14.0","0",""
"226","1985","15.0","0",""
"912","1994","14.0","0",""
"2831","2013","","0",""
"274","1987","8.0","0",""
"2802","2012","","0",""
"767","1997","15.0","0",""
"1040","1997","15.0","0",""
"914","1994","15.0","0",""
"2871","2017","","0",""
"677","1992","15.0","0","Starbucks"
"2179","2006","15.0","0",""
"296","1988","13.0","0","CVS, pharmacy"
"2350","2008","","2","Mobile, Kiosk"
"2165","2009","","0",""
"913","1994","14.0","0",""
"2627","2010","","0","Mobile, Kiosk"
"2855","2015","","0",""
"1028","1996","15.0","0",""
"303","1987","8.0","0",""
"1485","2002","8.0","0",""
"2163","2007","7.0","0",""
"2147","2008","15.0","0",""
"304","1987","7.0","1","Mobile, Kiosk, CafePizza"
"300","1987","15.0","0",""
"245","1986","14.0","1","Starbucks"
"302","1987","7.0","0",""
"222","1984","8.0","0",""
"230","1985","8.0","0",""
"2482","2009","","0",""
"1029","1996","14.0","0",""
"2730","2011","","0",""
"1238","1999","9.0","0",""
"293","1987","7.0","0","CVS, pharmacy"
"685","1991","14.0","3",""
"2128","2006","15.0","0",""
"3258","2017","","0",""
"1033","1997","9.0","0","CVS, pharmacy, Starbucks"
"259","1987","13.0","0","Fresh, Grocery"
"1140","1998","15.0","0",""
"305","1987","14.0","0",""
"997","1995","15.0","0","CVS, pharmacy, Starbucks"
"286","1987","15.0","0","Beer, Available, Wine"
"336","1988","15.0","0",""
"2151","2007","15.0","0",""
"2397","2008","15.0","0",""
"1418","2002","7.0","1","CafePizza"
"1936","2004","7.0","0","CVS, pharmacy, Fresh, Grocery"
"1383","2001","8.0","0",""
"1332","2001","15.0","0",""
"192","1983","14.0","0","Starbucks"
"2019","2005","15.0","0",""
"2421","2008","15.0","0",""
"3233","2017","","0",""
"1411","2002","8.0","0",""
"1846","2003","7.0","0","CVS, pharmacy"
"250","1986","9.0","0",""
"205","1983","14.0","0","CVS, pharmacy, Mobile, Kiosk"
"1815","2003","15.0","0","CVS, pharmacy, Starbucks"
"2465","2008","15.0","0",""
"2082","2005","15.0","0",""
"883","1994","9.0","0",""
"227","1985","15.0","0","Mobile, Kiosk, Starbucks"
"193","1983","14.0","0","Starbucks"
"1293","2000","9.0","0",""
"1425","2002","15.0","0","Starbucks"
"1410","2002","7.0","0",""
"184","1983","14.0","0",""
"229","1985","7.0","0",""
"3205","2015","","0","Starbucks"
"1424","2002","15.0","0",""
"249","1986","15.0","0","Starbucks"
"2051","2005","15.0","0",""
